Attraction,latitude,longitude,address,hierarchy,id,Version,Place
Banff Upper Hot Springs,51.1507689,-115.5609915,"1 Mountain Ave, Banff, AB T1L 1K2, Canada","Alberta, Canada",ChIJY_1__x_KcFMRZsdws-Mivvs,v1.0.1,Canada (Alberta)
Lake Louise,51.4253705,-116.1772552,"Lake Louise Village South, Lake Louise, AB T0L, Canada","Alberta, Canada",ChIJEc7hoChdd1MR5rxlY3s8Nzw,v1.0.1,Canada (Alberta)
Moraine Lake,51.3217416,-116.1860049,"8RC7+MH Lake Louise, AB, Canada","Alberta, Canada",ChIJF-WO9ctbd1MRlVzAw6KnyEI,v1.0.1,Canada (Alberta)
Moraine Lake (Banff National Park),51.3217416,-116.1860049,"8RC7+MH Lake Louise, AB, Canada","Alberta, Canada",ChIJF-WO9ctbd1MRlVzAw6KnyEI,v1.0.0,Canada (Alberta)
Valley of Ten Peaks,51.3211532,-116.2067881,"8QCV+F7 Lake Louise, AB, Canada","Alberta, Canada",ChIJh8fhDtdbd1MRH-_yxBzqwx4,v1.0.1,Canada (Alberta)
Banff Icefields Parkway,51.4968464,-115.9280562,9536F3WC+PQ,None,ChIJlZGSjCtmd1MR5tfKrGjincA,v1.0.1,Canada (Alberta)
A-maze-ing Laughter (Vancouver),49.28759909999999,-123.1419204,"Morton Park, 1800 Morton Ave, Vancouver, BC V6G, Canada","British Columbia, Canada",ChIJLzVSqyhyhlQRbutd4AnRhPU,v1.0.0,Canada (British Columbia)
English Bay (Vancouver),49.2871809,-123.1614389,"7RPQ+VC Vancouver, BC, Canada","British Columbia, Canada",ChIJHVYdgzlyhlQRJYPLPIK0njY,v1.0.0,Canada (British Columbia)
Glacier National Park of Canada,51.335289,-117.5297595,"8FPC+43 Rogers Pass, BC, Canada","British Columbia, Canada",ChIJxWd-JkUIeVMRuQ7amxSgRPA,v1.0.1,Canada (British Columbia)
Haida Gwaii,53.1013888,-132.0406057,"01 Resevoir Rd, Skidegate, Haida Gwaii, North Coast, BC V0T 1S0, Canada","British Columbia, Canada",ChIJAzMGVmJvbFQR673y7geLkuw,v1.0.1,Canada (British Columbia)
Nimmo Bay Wilderness Resort (British Columbia),50.9394912,-126.6819076,"W8Q9+Q6 Hopetown, BC, Canada","British Columbia, Canada",ChIJn8xAH-inZFQRqM4V7m-jznY,v1.0.0,Canada (British Columbia)
Stanley Park (Vancouver),49.30425839999999,-123.1442522,"29 Lake Trail, Vancouver, BC V6G, Canada","British Columbia, Canada",ChIJo-QmrYxxhlQRFuIJtJ1jSjY,v1.0.0,Canada (British Columbia)
Great Bear Rainforest,53.3896248,-128.9304399,945H93Q9+RR,None,ChIJX86IhvQuclQR02fBiZCb7Y8,v1.0.1,Canada (British Columbia)
Great Bear Rainforest,53.3896248,-128.9304399,945H93Q9+RR,None,ChIJX86IhvQuclQR02fBiZCb7Y8,v1.0.0,Canada (British Columbia)
Great Bear Rainforest,53.3896248,-128.9304399,945H93Q9+RR,None,ChIJX86IhvQuclQR02fBiZCb7Y8,v1.0.1,Canada (British Columbia)
Great Bear Rainforest,53.3896248,-128.9304399,945H93Q9+RR,None,ChIJX86IhvQuclQR02fBiZCb7Y8,v1.0.0,Canada (British Columbia)
Tablelands,49.4379014,-57.9982852,"C2Q2+5M Glenburnie-Birchy Head-Shoal Brook, NL, Canada","Newfoundland and Labrador, Canada",ChIJhYq2p3rje0sRM7rUxNzyHbg,v1.0.1,Canada (Labrador)
Tablelands,49.4379014,-57.9982852,"C2Q2+5M Glenburnie-Birchy Head-Shoal Brook, NL, Canada","Newfoundland and Labrador, Canada",ChIJhYq2p3rje0sRM7rUxNzyHbg,v1.0.1,Canada (Labrador)
Niagara Falls,43.0895577,-79.0849436,"5879-5899 Stanley Ave, Niagara Falls, ON L2G 3Y1, Canada","Ontario, Canada",ChIJuU2C7F5E04kRiKK9VmHF0kY,v1.0.1,Canada (Ontario)
Montmorency,46.8875043,-71.1477874,"VVQ2+2V Québec City, QC, Canada","Quebec, Canada",ChIJqwAQnqK-uEwRIxnWIPF1QtU,v1.0.0,Canada (Québec)
White Wolves,45.8125443,-74.2310115,"33 Chem. Fiddleridge Resort, Mille-Isles, QC J0R 1A0, Canada","Québec, Canada",ChIJnWaK9Nwlz0wRdggtNPbV69g,v1.0.0,Canada (Québec)
Great Bear Rainforest,53.3896248,-128.9304399,945H93Q9+RR,None,ChIJX86IhvQuclQR02fBiZCb7Y8,v1.0.1,Canada (Unknown)
Great Bear Rainforest,53.3896248,-128.9304399,945H93Q9+RR,None,ChIJX86IhvQuclQR02fBiZCb7Y8,v1.0.0,Canada (Unknown)
Great Bear Rainforest,53.3896248,-128.9304399,945H93Q9+RR,None,ChIJX86IhvQuclQR02fBiZCb7Y8,v1.0.1,Canada (Unknown)
Great Bear Rainforest,53.3896248,-128.9304399,945H93Q9+RR,None,ChIJX86IhvQuclQR02fBiZCb7Y8,v1.0.0,Canada (Unknown)
Mount Assiniboine Provisional Park,50.9454757,-115.761753,9526W6WQ+57,None,ChIJyRvhk4qkcFMRYZ6f893J780,v1.0.0,Canada (Unknown)
Dzanga-Bai,2.9539082,16.3651074,"X938+H2 Bayanga, Central African Republic","Sangha-Mbaéré, Central African Republic",ChIJty7QEL7SlxAR-4FPVtQ0jC0,v1.0.0,Central African
